Name,ObstacleDensity,FoundSolution,TotalNodes,NodesVisited,PercentVisited,SolutionDistance,SolutionTime,MapWidthResolution,MapGenTime
Gradient Descent,Wall,false,289,9,0.031142,64.114670,0.000000,17,0.001000
Gradient Descent,Wall,false,625,12,0.019200,62.225388,0.000000,25,0.001000
Gradient Descent,Wall,false,1444,17,0.011773,59.545834,0.000000,38,0.003000
Gradient Descent,Wall,false,3249,26,0.008002,60.573524,0.000000,57,0.008000
Gradient Descent,Wall,false,7396,37,0.005003,58.718014,0.000000,86,0.017000
Gradient Descent,Wall,false,16641,54,0.003245,57.782288,0.000000,129,0.039000
Gradient Descent,Wall,false,37636,79,0.002099,56.860157,0.000000,194,0.089000
Gradient Descent,Wall,false,84681,119,0.001405,57.203835,0.001000,291,0.198000
Gradient Descent,Wall,false,190969,177,0.000927,56.956947,0.000000,437,0.447000
Gradient Descent,Wall,false,430336,265,0.000616,56.850204,0.000000,656,1.016000
Gradient Descent,NoSolution,false,100,6,0.060000,70.710678,0.000000,10,0.001000
Gradient Descent,NoSolution,false,121,7,0.057851,73.373337,0.000000,11,0.000000
Gradient Descent,NoSolution,false,289,9,0.031142,64.114670,0.000000,17,0.001000
Gradient Descent,NoSolution,false,625,12,0.019200,62.225388,0.000000,25,0.002000
Gradient Descent,NoSolution,false,1444,17,0.011773,59.545834,0.000000,38,0.003000
Gradient Descent,NoSolution,false,3249,26,0.008002,60.573524,0.000000,57,0.009000
Gradient Descent,NoSolution,false,7396,37,0.005003,58.718014,0.000000,86,0.018000
Gradient Descent,NoSolution,false,16641,54,0.003245,57.782288,0.000000,129,0.041000
Gradient Descent,NoSolution,false,37636,79,0.002099,56.860157,0.000000,194,0.094000
Gradient Descent,NoSolution,false,84681,119,0.001405,57.203835,0.000000,291,0.214000
Gradient Descent,NoSolution,false,190969,177,0.000927,56.956947,0.001000,437,0.480000
Gradient Descent,NoSolution,false,430336,265,0.000616,56.850204,0.001000,656,1.069000
Dijkstra's,None,true,100,99,1.000000,98.994949,0.000000,10,0.000000
Dijkstra's,None,true,121,120,1.000000,102.851883,0.000000,11,0.000000
Dijkstra's,None,true,289,281,1.000000,99.826836,0.001000,17,0.000000
Dijkstra's,None,true,625,604,1.000000,101.823357,0.002000,25,0.000000
Dijkstra's,None,true,1444,1375,1.000000,100.483559,0.010000,38,0.000000
Dijkstra's,None,true,3249,3057,1.000000,99.243088,0.047000,57,0.001000
Dijkstra's,None,true,7396,6944,1.000000,100.310471,0.247000,86,0.003000
Dijkstra's,None,true,16641,15472,1.000000,98.666107,1.204000,129,0.005000
Dijkstra's,None,false,37636,31677,1.000000,88.788490,5.001000,194,0.014000
Dijkstra's,None,false,84681,31789,1.000000,53.008587,5.001000,291,0.029000
Dijkstra's,None,false,190969,31814,1.000000,29.659050,5.001000,437,0.064000
Dijkstra's,None,false,430336,32030,1.000000,16.094612,5.001000,656,0.143000
Dijkstra's,Sparse,true,100,90,1.000000,104.852814,0.000000,10,0.000000
Dijkstra's,Sparse,true,121,117,1.000000,108.177223,0.000000,11,0.000000
Dijkstra's,Sparse,true,289,272,1.000000,103.272636,0.001000,17,0.000000
Dijkstra's,Sparse,true,625,587,1.000000,106.509651,0.002000,25,0.001000
Dijkstra's,Sparse,true,1444,1340,1.000000,105.108185,0.010000,38,0.002000
Dijkstra's,Sparse,true,3249,2977,1.000000,103.353867,0.047000,57,0.004000
Dijkstra's,Sparse,true,7396,6745,1.000000,103.716202,0.229000,86,0.012000
Dijkstra's,Sparse,true,16641,15074,1.000000,102.298874,1.140000,129,0.024000
Dijkstra's,Sparse,false,37636,31663,1.000000,93.537552,5.001000,194,0.057000
Dijkstra's,Sparse,false,84681,31831,1.000000,54.663654,5.001000,291,0.125000
